iter	Passed	Remaining
740	1266	442
741	1268	440
742	1269	439
743	1270	437
744	1272	435
745	1273	433
746	1275	431
747	1276	430
748	1277	428
749	1279	426
750	1281	424
751	1282	423
752	1284	421
753	1285	419
754	1286	417
755	1288	415
756	1289	413
757	1290	412
758	1292	410
759	1294	408
760	1296	407
761	1297	405
762	1298	403
763	1300	401
764	1301	399
765	1302	398
766	1304	396
767	1305	394
768	1307	392
769	1309	391
770	1311	389
771	1312	387
772	1314	385
773	1315	384
774	1317	382
775	1318	380
776	1320	378
777	1321	377
778	1323	375
779	1325	373
780	1326	372
781	1327	370
782	1329	368
783	1330	366
784	1332	364
785	1333	363
786	1334	361
787	1336	359
788	1338	357
789	1339	356
790	1341	354
791	1342	352
792	1344	350
793	1345	349
794	1346	347
795	1347	345
796	1349	343
797	1350	341
798	1352	340
799	1354	338
800	1355	336
801	1356	334
802	1358	333
803	1359	331
804	1360	329
805	1362	327
806	1364	326
807	1366	324
808	1368	323
809	1369	321
810	1371	319
811	1372	317
812	1373	316
813	1375	314
814	1376	312
815	1378	310
816	1379	309
817	1382	307
818	1383	305
819	1384	304
820	1386	302
821	1387	300
822	1389	298
823	1390	297
824	1391	295
825	1393	293
826	1394	291
827	1396	290
828	1398	288
829	1400	286
830	1401	285
831	1403	283
832	1404	281
833	1406	279
834	1407	278
835	1409	276
836	1410	274
837	1412	273
838	1413	271
839	1415	269
840	1416	267
841	1417	266
842	1419	264
843	1420	262
844	1421	260
845	1423	259
846	1425	257
847	1427	255
848	1428	254
849	1429	252
850	1431	250
851	1432	248
852	1433	247
853	1435	245
854	1436	243
855	1438	241
856	1440	240
857	1441	238
858	1442	236
859	1444	235
860	1445	233
861	1446	231
862	1448	229
863	1449	228
864	1451	226
865	1453	224
866	1454	223
867	1456	221
868	1457	219
869	1458	218
870	1460	216
871	1461	214
872	1462	212
873	1464	211
874	1465	209
875	1467	207
876	1469	206
877	1470	204
878	1471	202
879	1473	200
880	1474	199
881	1476	197
882	1477	195
883	1478	194
884	1480	192
885	1481	190
886	1483	189
887	1485	187
888	1486	185
889	1488	183
890	1489	182
891	1491	180
892	1492	178
893	1494	177
894	1495	175
895	1497	173
896	1499	172
897	1500	170
898	1501	168
899	1503	167
900	1504	165
901	1506	163
902	1507	161
903	1508	160
904	1511	158
905	1513	157
906	1515	155
907	1516	153
908	1518	152
909	1520	150
910	1522	148
911	1524	147
912	1526	145
913	1528	143
914	1529	142
915	1531	140
916	1532	138
917	1534	137
918	1535	135
919	1536	133
920	1538	131
921	1540	130
922	1541	128
923	1543	126
924	1544	125
925	1545	123
926	1547	121
927	1548	120
928	1549	118
929	1551	116
930	1552	115
931	1554	113
932	1556	111
933	1557	110
934	1558	108
935	1560	106
936	1561	104
937	1563	103
938	1564	101
939	1565	99
940	1567	98
941	1569	96
942	1570	94
943	1572	93
944	1574	91
945	1575	89
946	1577	88
947	1578	86
948	1580	84
949	1581	83
950	1583	81
951	1585	79
952	1586	78
953	1587	76
954	1589	74
955	1590	73
956	1591	71
957	1593	69
958	1594	68
959	1597	66
960	1598	64
961	1600	63
962	1601	61
963	1603	59
964	1604	58
965	1605	56
966	1607	54
967	1608	53
968	1609	51
969	1611	49
970	1613	48
971	1614	46
972	1616	44
973	1617	43
974	1619	41
975	1620	39
976	1621	38
977	1623	36
978	1624	34
979	1626	33
980	1628	31
981	1629	29
982	1630	28
983	1632	26
984	1633	24
985	1634	23
986	1636	21
987	1637	19
988	1639	18
989	1640	16
990	1642	14
991	1644	13
992	1645	11
993	1646	9
994	1648	8
995	1649	6
996	1650	4
997	1652	3
998	1654	1
999	1656	0
